Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation Currency (in USD),Organization Description,Organization Industries,Organization Location,Organization Website,Organization Revenue Range,Funding Status,Investor Names
Pre Seed Round - Butlr,https://www.crunchbase.com/funding_round/butlr-0e8d-pre-seed--7e50e022,Butlr,https://www.crunchbase.com/organization/butlr-0e8d,Pre-Seed,,,,2020-06-26,,,,AIoT intelligence for indoor people movement and well-being safeguarding privacy,"Artificial Intelligence, Data Visualization, Information Technology, Internet, Internet of Things, Retail Technology, Smart Home, Software","Redwood City, California, United States, North America",https://www.livebutlr.com/,,Seed,"(SVTC) + Constellar Ventures, 500 Startups, Ark Canada Investment Group, Band of Angels, David Lane, Emerging Ventures, Josh Lester, Lu Zhang, Particle Accelerator Limited, Paul Veugen, Renata George, Skylight Investment, SOSV, The E14 Fund, Ventek Ventures, ZEMU Venture Capital"
Series A - BloomCredit,https://www.crunchbase.com/funding_round/bloomcredit-series-a--6c5c9a59,BloomCredit,https://www.crunchbase.com/organization/bloomcredit,Series A,10000000,USD,10000000,2020-10-08,,,,Bloom Credit is a fintech platform that works to improve the financial eligibility of people declines for lending products.,"Developer APIs, Financial Services, FinTech, Information Technology, Payments, Personal Finance","New York, New York, United States, North America",http://www.bloomcred.it,$1M to $10M,Early Stage Venture,"500 Startups, Allegis NL Capital, Commerce Ventures, Resolute Ventures, Slow Ventures, Socially Financed"
Pre Seed Round - Doyobi,https://www.crunchbase.com/funding_round/doyobi-pre-seed--7b3a7967,Doyobi,https://www.crunchbase.com/organization/doyobi,Pre-Seed,1000000,USD,1000000,2020-08-18,,,,Doyobi is an ed-tech startup providing science and coding courses for kids.,"EdTech, Education","Singapore, Central Region, Singapore, Asia",https://www.doyobi.com/,$10M to $50M,Seed,"500 Startups, Bamboo Sea Ventures, Firas Alsuwaigh, Hustle Fund, Masashi Takahashi, Roger E. Egan, Sanjay Shivkumar, Teja Ventures, Tu Ngo, XA Network"
Seed Round - Ostaz,https://www.crunchbase.com/funding_round/synkers-seed--4a9ebc36,Ostaz,https://www.crunchbase.com/organization/synkers,Seed,1800000,USD,1800000,2020-09-27,,,,Ostaz is a mobile platform that connects students seeking help in a specific course to qualified private tutors.,"Education, Enterprise Software, Mobile Apps, Peer to Peer","Beirut, Beyrouth, Lebanon, Asia",http://www.synkers.com,$1M to $10M,M&A,"500 Startups, Crescent Capital, Dalia Al Sulaiman, Dr. Lama, Dubai Angel Investors, Kafalat iSME, Mulcan International Investments., Phoenician Funds"
Seed Round - PicCollage,https://www.crunchbase.com/funding_round/pic-collage-seed--5d909a37,PicCollage,https://www.crunchbase.com/organization/pic-collage,Seed,2300000,USD,2300000,2013-08-21,,,,PicCollage is a Top 10 mobile photo app for iOS and Android with over 16 million monthly active users.,Apps,"San Francisco, California, United States, North America",http://piccollage.com,,Seed,"500 Startups, Floodgate, Freestyle Capital, Quest Venture Partners, Sand Hill Angels, XG Ventures"
Seed Round - Stack,https://www.crunchbase.com/funding_round/stack-7bea-seed--37b2f06b,Stack,https://www.crunchbase.com/organization/stack-7bea,Seed,850000,USD,850000,2020-12-14,,,,Stack is a smart browser for internet multitaskers that manages all apps from one place.,"Enterprise Software, Productivity Tools, Software","Amsterdam, Noord-Holland, The Netherlands, Europe",https://stackbrowser.com/,,Seed,"500 Startups, Bank Of Georgia Group, CircleCove Capital, Peak Capital"
Series A - Fakespot,https://www.crunchbase.com/funding_round/fakespot-series-a--4d634836,Fakespot,https://www.crunchbase.com/organization/fakespot,Series A,4000000,USD,4000000,2020-11-30,,,,Fakespot determines the trustworthiness of reviews using artificial intelligence.,"Artificial Intelligence, Information Technology, Machine Learning, Natural Language Processing","New York, New York, United States, North America",http://fakespot.com,$1M to $10M,Early Stage Venture,"500 Startups, Bullpen Capital, Faith Capital, Graph Ventures, SRI Capital"
Seed Round - Elk,https://www.crunchbase.com/funding_round/elk-seed--1882965c,Elk,https://www.crunchbase.com/organization/elk,Seed,250000,USD,250000,2018-01-01,,,,Elk manufactures  the development board for building hardware projects that interface with Bitcoin.|,"Application Specific Integrated Circuit (ASIC), Blockchain, Electronics, Manufacturing","Cairo, Al Qahirah, Egypt, Africa",https://elk.cc/,,Seed,"500 Startups, Con O'Donnell, Endure Capital, Flat6Labs, Karim Hussein, Khaled Alashmouny"
Pre Seed Round - Retailo Technologies,https://www.crunchbase.com/funding_round/retailo-technologies-pre-seed--30e4d14d,Retailo Technologies,https://www.crunchbase.com/organization/retailo-technologies,Pre-Seed,2300000,USD,2300000,2020-10-12,,,,Retailo Technologies is an online B2B marketplace that aims to technologically supercharge retail supply chain.,"B2B, E-Commerce, Marketplace, Retail","Riyadh, Ar Riyad, Saudi Arabia, Asia",https://www.retailo.co/,,Seed,"500 Startups, 92 Ventures, Shorooq Partners"
Pre Seed Round - Kiira Health,https://www.crunchbase.com/funding_round/kiira-health-pre-seed--ff0edc2a,Kiira Health,https://www.crunchbase.com/organization/kiira-health,Pre-Seed,,,,2020-12-05,,,,Kiira is an advanced AI care coordinator and women's health clinic for young women.,"Artificial Intelligence, Fertility, Health Care, Women's","Los Angeles, California, United States, North America",https://www.kiira.io/,,Seed,"500 Startups, Acceleprise, Backstage Capital, Bumble Fund, Newark Venture Partners, Serena Ventures, Sidebench"
